start,position,end
2022-05-01,제20대 대통령,
2022-03-01,제20대 대통령 당선인,
2021-11-01,제20대 대통령선거 국민의힘 대통령 후보,
2021-07-01,제20대 대통령선거 예비후보,
2019-07-01,대검찰청 검찰총장,2021-03-01
2017-05-01,제59대 서울중앙지방검찰청 검사장,2019-07-01
2016-12-01,최순실 등 국정농단 특별검사실 검사(파견),2017-05-01
2016-01-01,대전고등검찰청 검사,2016-12-01
2014-01-01,대구고등검찰청 검사,2016-01-01
2013-04-01,수원지방검찰청 여주지청장,2014-01-01
2012-07-01,서울중앙지방검찰청 특별수사제 1부 부장검사,2013-04-01
2011-09-01,"서울중앙지방검찰청 부장검사, 대검찰청 중앙수사1과장(겸임)",2012-07-01
2010-08-01,"서울중앙지방검찰청 부장검사, 대검찰청 중앙수사2과장(겸임)",2011-09-01
2009-08-01,대검찰청 범죄정보2담당관,2010-08-01
2009-01-01,대구지방검찰청 특별수사부 부장검사,2009-08-01
2008-03-01,대전지방검찰청 논산지청장,2009-01-01
2008-01-01,한나라당 대통령 후보 범죄 혐의 진상 규명 특별 검사실 검사(파견),2008-03-01
2007-03-01,대검찰청 검찰연구관,2008-01-01
2005-02-01,의정부지방검찰청 고양지청 검사,2007-03-01
2003-02-01,광주지방검찰청 검사,2005-02-01
2002-01-01,법무법인(유) 태평양 변호사,2003-02-01
2001-08-01,부산지방검찰청 검사,2002-01-01
1999-03-01,서울지방검찰청 검사,2001-08-01
1997-03-01,수원지방검찰청 성남지청 검사,1999-02-01
1996-03-01,춘천지방검찰청 강릉지청 검사,1997-02-01
1994-03-01,대구지방검찰청 검사,1996-02-01
1994-02-01,제23기 사법연수원 수료,
1991-01-01,제33회 사법시험 합격,
